num_nodes,NearestNeighbor_0_Ahead,SimulatedAnnealing
50,2.93023,387.911
51,3.11557,406.652
52,3.27362,410.81
53,3.43211,426.14
54,3.6665,434.974
55,3.87186,448.773
56,4.11572,470.809
57,4.27874,479.851
58,4.61569,494.186
59,4.84632,505.972
60,5.02619,520.042
61,5.25794,528.834
62,5.49015,532.496
63,5.77621,545.135
64,6.07947,554.494
65,6.37386,587.717
66,6.85039,613.848
67,7.21167,616.534
68,7.35783,618.326
69,7.70626,629.92
70,7.95642,634.803
71,8.30962,646.73
72,8.77181,662.603
73,9.1745,669.209
74,9.57871,681.932
75,10.0461,700.354
76,10.3306,710.245
77,10.9116,725.963
78,11.148,735.376
79,11.6987,748.298
80,11.9685,748.25
81,12.4521,754.447
82,12.9706,775.049
83,13.4904,790.165
84,13.9818,805.382
85,14.5196,817.995
86,15.0843,831.446
87,15.7784,841.677
88,16.0637,846.14
89,16.8083,856.297
90,17.2798,878.524
91,17.7975,883.94
92,18.1084,885.741
93,18.7045,891.674
94,19.2457,902.57
95,20.1886,928.845
96,21.1719,945.763
97,21.7203,954.092
98,22.1696,967.052
99,22.6889,973.274
100,23.5014,994.562
101,24.0503,1000.83
102,24.8504,1015.54
103,25.6519,1032.08
104,26.2794,1036.24
105,27.4139,1057.45
106,28.2278,1074.7
107,29.0475,1083.33
108,29.6572,1100.42
109,30.4288,1119.08
110,30.9842,1116.33
111,31.6203,1120.69
112,32.6103,1137.06
113,33.6635,1157.36
114,34.7116,1175.72
115,35.2996,1169.7
116,36.0916,1176.74
117,36.911,1185.71
118,37.8355,1199.72
119,38.8533,1214.91
120,39.7915,1224.19
121,40.8322,1243.31
122,41.8552,1261.32
123,42.9121,1266.87
124,44.079,1288.44
125,45.9121,1325.58
126,46.3639,1322.33
127,47.1916,1330.81
128,48.2873,1332.12
129,49.4243,1383.95
130,50.739,1402.32
131,51.838,1415.56
132,53.0704,1438.14
133,54.2725,1462.79
134,55.4329,1479.17
135,56.6626,1491.26
136,57.9109,1500.28
137,59.2135,1515.73
138,60.6579,1534.01
139,62.0428,1547.75
140,63.0586,1566.7
141,64.4425,1586.49
142,65.8757,1603.43
143,68.15,1645.47
144,69.4744,1644.54
145,70.9727,1655.1
146,72.4209,1679.69
147,74.7497,1711.21
148,75.8488,1731.77
149,76.8666,1719.07
150,78.5588,1746.69
151,80.0132,1753.7
152,81.9442,1771.94
