num_nodes,NearestNeighbor_0_Ahead,SimulatedAnnealing
50,680.959,570.76
51,685.421,574.256
52,696.339,581.955
53,705.742,586.251
54,710.89,591.986
55,724.055,599.332
56,732.83,605.857
57,733.39,609.357
58,744.753,614.678
59,752.939,620.698
60,752.279,624.412
61,762.337,627.893
62,761.103,632.911
63,769.69,637.299
64,778.387,642.72
65,790.422,643.473
66,803.484,650.046
67,807.141,655.062
68,806.113,663.304
69,811.997,663.045
70,817.728,667.553
71,816.496,673.193
72,820.925,678.123
73,826.592,682.889
74,830.983,686.125
75,834.712,690.091
76,840.344,696.1
77,849.441,697.764
78,851.874,707.027
79,854.323,713.712
80,859.035,719.464
81,863.198,721.538
82,869.189,724.475
83,869.459,729.635
84,879.495,731.803
85,883.499,735.169
86,890.422,739.897
87,899.964,742.145
88,904.887,746.094
89,915.822,750.096
90,927.216,757.715
91,926.438,759.933
92,938.436,758.736
93,938.884,768.001
94,956.248,774.62
95,960.452,774.977
96,963.213,784.714
97,962.984,784.174
98,968.281,786.254
99,969.471,789.788
100,976.075,792.082
101,971.887,799.941
102,977.407,802.243
103,980.576,805.107
104,990.758,809.341
105,995.807,813.171
106,1008.51,815.085
107,1012.44,819.255
108,1012.59,829
109,1017.61,829.836
110,1012.41,834.13
111,1011.83,839.894
112,1020.9,842.591
113,1038.13,848.591
114,1031.8,849.573
115,1032.92,854.74
116,1035.99,859.514
117,1050.24,863.072
118,1058.57,862.538
119,1062.27,867.148
120,1059.78,870.192
121,1064.63,875.181
122,1063.62,878.405
123,1071.44,881.476
124,1078.27,887.501
125,1086.34,892.564
126,1092.34,897.514
127,1111.79,898.957
128,1110.44,901.504
129,1094.55,908.609
130,1104.14,910.674
131,1100.72,911.848
132,1106.08,916.098
133,1115.45,918.444
134,1113.14,920.911
135,1119.49,924.041
136,1124.63,930.435
137,1127.85,936.296
138,1128.98,939.052
139,1132.43,938.575
140,1135.25,942.976
141,1135.92,946.349
142,1140.5,946.376
143,1153.22,950.905
144,1157.46,954.7
145,1164.01,956.809
146,1157.92,960.977
147,1162.16,962.819
148,1180.24,964.294
149,1177.19,963.028
150,1168.05,962.933
151,1174.66,967.994
152,1184.8,970.19
153,1189.86,973.987
154,1190.14,979.873
155,1191.29,985.693
156,1203.06,985.232
157,1206.41,992.822
158,1212.87,997.449
159,1219.42,1000.58
160,1219.32,1003.54
161,1220.63,1006.39
162,1228.92,1007.52
163,1237.21,1014.34
164,1248.54,1015.39
165,1253.39,1014.49
166,1257.71,1019.76
167,1257.96,1021.09
168,1260.76,1026.93
169,1254.8,1029.59
170,1253.57,1031.95
171,1256.31,1034.61
172,1260.98,1037.59
173,1266.54,1037.1
174,1267.8,1041.46
175,1268.67,1045.06
176,1265.66,1047.8
177,1270.25,1051.55
178,1268.68,1058.46
179,1275.93,1057.51
180,1280.21,1060.35
181,1287.13,1062.31
182,1284.62,1062.92
183,1284.52,1068.06
184,1285.6,1072.71
185,1283.47,1069.73
186,1289.99,1071.18
187,1294.59,1078.35
188,1293.32,1078.92
189,1301.74,1082.12
190,1314.49,1086.91
191,1310.85,1088.33
192,1316.49,1091.35
193,1322.42,1096.84
194,1318.37,1097.84
195,1325.5,1103.51
196,1329.78,1103.88
197,1335.85,1108.98
198,1343.31,1109.08
199,1338.88,1112.64
200,1348.63,1111.48
201,1346.63,1116.49
202,1348.73,1124.64
203,1343.05,1122.14
204,1346.64,1127.31
205,1352.67,1128.3
206,1359.87,1132.37
207,1362.91,1132.99
208,1361.92,1137.9
209,1367.94,1141.65
210,1373.96,1142.71
211,1372.09,1146.29
212,1379.3,1150.08
213,1390.28,1153.57
214,1400.25,1157.72
215,1409.87,1156.85
216,1405.78,1163.81
217,1416.43,1167.13
218,1413.82,1167.45
219,1411.14,1164.43
220,1417.52,1170.41
221,1412.15,1173.4
222,1419.02,1173.91
223,1429.42,1178.55
224,1430.67,1179.7
225,1435.48,1177.07
226,1440.87,1183.46
227,1444.98,1186.45
228,1456.85,1187.14
229,1460.16,1189.72
230,1467.03,1192.86
231,1467.63,1194.82
232,1469.91,1196.62
233,1472.9,1198.37
234,1467.59,1204.9
235,1461.79,1206
236,1466.39,1205.47
237,1472.59,1215.06
238,1466.69,1218.09
239,1469.91,1214.92
240,1472.55,1224.83
241,1479.16,1222.61
242,1483.97,1226.83
243,1487.62,1225.72
244,1493.03,1230.87
245,1489.09,1235.36
246,1488.88,1235.1
247,1494.67,1239.04
248,1504.24,1237.72
249,1514.74,1244.47
250,1511.92,1244.52
251,1515.37,1245.5
252,1519.05,1249.95
253,1519.25,1253.26
254,1517.9,1254.52
255,1525,1256.04
256,1526.32,1252.86
257,1525.71,1261.19
258,1527.49,1261.41
259,1529.46,1262.56
260,1524.07,1269.11
261,1530.24,1269.42
262,1536.14,1271.21
263,1541.13,1273.2
264,1547.66,1278.54
265,1546.03,1276.32
266,1544.46,1283.18
267,1548.67,1284.61
268,1551.9,1284.04
269,1546.75,1285.83
270,1544.84,1290.49
271,1550.07,1292.05
272,1555.84,1294.83
273,1557.09,1292.23
274,1567.24,1297.97
275,1571.58,1299.32
276,1575.36,1301.63
277,1580.19,1306.38
278,1585.55,1306.96
279,1586.33,1309.62
280,1584.14,1307.96
281,1589.88,1314.64
282,1595.68,1315.18
283,1592.72,1316.2
284,1597.26,1321.63
285,1598.55,1320.76
286,1598.06,1322.95
287,1599.06,1329.17
288,1591.23,1329.72
289,1605.16,1333.54
290,1600.99,1336.47
291,1603.2,1338.3
292,1602.89,1337.81
293,1604.01,1337.29
294,1611.95,1342.04
295,1613.15,1344.13
296,1615.92,1342.81
297,1631.56,1347.74
298,1636.37,1348.66
299,1636.1,1352.34
300,1647.62,1356.72
301,1654.3,1356.79
302,1659.87,1361
303,1665.27,1360.78
304,1654.4,1364.22
305,1651.65,1364.76
306,1650.19,1370.17
307,1660.79,1369.54
308,1660.28,1372.73
309,1657.44,1374.97
310,1664.61,1378.08
311,1675.74,1378.94
312,1675.24,1379.78
313,1677.72,1381.87
314,1676.85,1386.1
315,1675.59,1386.66
316,1676.72,1388.91
317,1683.13,1393.21
318,1686.07,1395.42
319,1688.07,1398.98
320,1695.99,1404.67
321,1714.74,1406.23
322,1714.92,1403.79
323,1718.89,1405.78
324,1717.17,1411.21
325,1721.95,1412.71
326,1723.75,1418.92
327,1740.8,1416.85
328,1732.09,1416.78
329,1734.1,1419.73
330,1734.76,1419.94
331,1724.68,1424.88
332,1737.03,1427.2
333,1736.75,1433.89
334,1739.39,1432.62
335,1737.17,1437.16
336,1737.49,1438.3
337,1737.06,1438.49
338,1737.53,1440.82
339,1736.02,1445.93
340,1737.87,1443.66
341,1740.69,1446.17
342,1739.66,1449.86
343,1740.38,1453.35
344,1745.26,1453.29
345,1750.22,1457.72
346,1756.12,1457.37
347,1757.24,1459.84
348,1758.63,1464.91
349,1763.85,1463.2
350,1762.43,1466.22
351,1756.55,1467.15
352,1755.57,1471.26
353,1763.46,1474.07
354,1765.35,1477.14
355,1776.35,1478.97
356,1772.64,1478.75
357,1769.39,1484.49
358,1778.96,1483.95
359,1780.08,1483.7
360,1782.12,1486.29
361,1783.93,1487.67
362,1785.6,1488.35
363,1797.56,1493.82
364,1798.31,1494.14
365,1793.58,1496.5
366,1798.6,1494.99
367,1799.41,1502.22
368,1800.17,1502.35
369,1798.89,1503.66
370,1798.33,1506.02
371,1799.1,1505.76
372,1798.36,1506.79
373,1817.4,1508.37
374,1821.33,1514.77
375,1827.59,1514.8
376,1837.16,1517.29
377,1839.28,1519.53
378,1832.8,1520.99
379,1837.09,1521.43
380,1848.69,1528.08
381,1854.25,1528.07
382,1852.09,1531.61
383,1851.21,1533.37
384,1858.52,1536.92
385,1855.8,1539.73
386,1848.65,1538.7
387,1855.81,1539.9
388,1864.02,1539.38
389,1863.33,1541.72
390,1862.23,1543.26
391,1863.84,1548.59
392,1869.08,1549.03
393,1874.78,1554.46
394,1883.66,1550.32
395,1887.44,1555.33
396,1885.43,1556.68
397,1889.33,1560.36
398,1895.91,1559.1
399,1897.56,1563.85
400,1893.42,1566.81
401,1894.4,1566.15
402,1899.56,1566.41
403,1895.52,1571.72
404,1886.93,1570.37
405,1893.68,1574.87
406,1890.92,1574.86
407,1894.67,1577.44
408,1892.79,1582.51
409,1900.24,1582.61
410,1898.33,1588.21
411,1898.57,1588.76
412,1909.9,1585.82
413,1912.21,1586.83
414,1918.44,1589.11
415,1919.95,1590
416,1917.45,1589.26
417,1921.7,1588.48
418,1921.53,1594.92
419,1922.99,1595.67
420,1926.69,1597.01
421,1928.85,1604.07
422,1931.81,1604.15
423,1936.69,1603.91
424,1937.41,1607.32
425,1938.93,1608.79
426,1937.79,1612.48
427,1939.16,1610.93
428,1943.64,1616.3
429,1950.53,1615.51
430,1948.59,1615.77
431,1943.65,1615.93
432,1949.12,1620.54
433,1945.42,1619.39
434,1950.3,1627.89
435,1949.58,1626.26
