num_nodes,AntSystem,BranchBoundTSP,BruteForceTSP,NearestNeighbor_0_Ahead,SimulatedAnnealing
2,0.522028,0.00229313,0.000958333,0.0013986,5.77056
3,1.35684,0.0041417,0.00186397,0.00216527,10.2484
4,2.69063,0.00853327,0.00519863,0.00333327,17.1135
5,4.62398,0.0235292,0.0187472,0.0056847,24.0971
6,7.35747,0.077443,0.0820611,0.00848053,28.899
7,10.7578,0.324211,0.438925,0.0121222,34.0057
8,14.9072,1.622,3.06573,0.0163263,40.1976
9,20.2581,8.84297,24.4006,0.0219167,50.7556
10,27.5684,45.3159,223.99,0.0303112,57.9455
11,35.0998,261.87,2185.57,0.0382875,64.4738
12,43.9601,1431.26,24184.5,0.0499014,72.7261
