AntColony,NearestNeighbor
0.698981,0.000447133
3.43126,0.0008889
10.4101,0.0015056
24.2582,0.00230697
67.7724,0.0047903
115.108,0.00472763
134.171,0.00485693
210.59,0.00598337
298.566,0.00675017
429.962,0.00744717
573.416,0.00822923
760.915,0.0093166
989.09,0.0101444
1261.34,0.0112749
1585.45,0.0123084
1962.21,0.0139
2410.35,0.0152138
2946.07,0.0164638
3545.82,0.0183584
3823.92,0.0204902
4119.68,0.0222584
4407.53,0.0243431
4709.84,0.0264013
5023.65,0.0250194
5336.84,0.0253153
5665.29,0.0278957
6002.38,0.0281237
6345.9,0.028768
